pulse_width,lft_rpm,rgt_rpm
1300,+37.083333,+36.333333
1310,+37.083333,+36.333333
1320,+37.083333,+36.333333
1330,+37.083333,+36.458333
1340,+37.083333,+36.541667
1350,+37.208333,+36.500000
1360,+37.083333,+36.458333
1370,+37.291667,+36.458333
1380,+37.083333,+36.250000
1390,+36.666667,+35.833333
1400,+36.250000,+35.208333
1410,+35.500000,+34.375000
1420,+34.375000,+33.333333
1430,+33.083333,+31.666667
1440,+30.916667,+29.125000
1450,+27.500000,+25.208333
1460,+22.833333,+20.291667
1470,+16.958333,+14.583333
1480,+10.750000,+08.750000
1490,+04.375000,+04.166667
1500,000.000000,000.000000
1510,-01.583333,-01.875000
1520,-07.500000,-08.208333
1530,-14.166667,-14.166667
1540,-19.916667,-19.708333
1550,-24.791667,-24.166667
1560,-28.333333,-28.125000
1570,-30.916667,-30.500000
1580,-32.916667,-32.750000
1590,-34.250000,-34.083333
1600,-35.291667,-35.000000
1610,-35.958333,-35.500000
1620,-36.458333,-36.250000
1630,-36.916667,-36.666667
1640,-36.916667,-36.791667
1650,-37.260870,-36.833333
1660,-36.958333,-36.791667
1670,-36.958333,-36.750000
1680,-36.958333,-36.666667
1690,-36.958333,-36.875000
1700,-36.958333,-36.875000
